,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video,Parent Category
6155,Dép nữ quai chéo 2 màu cực xinh siêu hot 108,53000.0,Gấu,Giày Dép Nam/Xăng-đan và Dép/Khác,419,98140,4.8,123,6,3,2,1,135,75,65,Giày Dép Nam
6156,[dép bánh mì]Dép bánh mì đi trong nhà tắm thiết kế đám mây dễ thương thời trang mùa hè cho cặp đôi,145000.0,Gấu,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,805,24082,4.7,249,4,9,0,12,274,174,150,Giày Dép Nam
6157,Giày Converse chính hãng 2hand giá rẻ,210000.0,CONVERSE,Giày Dép Nam/Giày Thể Thao/ Sneakers,373,3,5.0,191,6,1,0,0,198,108,84,Giày Dép Nam
6158,Dép nữ xỏ ngón thời trang đi biển đi dạo quai nhỏ đan dây đế bệt Cillie 2006,99000.0,cillie,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,610,57,0.0,0,0,0,0,0,242,0,0,Giày Dép Nam
6159,Giày Nữ 3 Phân Chất Da Mềm Gắn Nơ Tinh Tế Phong Cách Hàn Giá Xưởng Size 35 - 39,69000.0,cillie,Giày Dép Nữ/Giày Cao Gót,222,4785,0.0,0,0,0,0,0,71,0,0,Giày Dép Nữ
6160,Dép Thái Lan nữ Xỏ Ngón Monobo Moniga 6.8,99000.0,Monobo,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,401,62,5.0,118,0,0,0,0,118,51,38,Giày Dép Nam
6161,Giày Converse Chuck 70s High Top Parchment - 162053C,1700000.0,CONVERSE,Giày Dép Nam/Giày Thể Thao/ Sneakers,251,308,5.0,111,2,0,0,0,113,68,66,Giày Dép Nam
6162,[QUÀ TẶNG + VIDEO THẬT] Dép Nữ Quai Ngang Hàn Quốc Phối Nơ Chấm Bi Đen Trắng Sang Chảnh - Dép Nữ Đẹp Hot Trend Năm 2021,59000.0,CONVERSE,Giày Dép Nam/Xăng-đan và Dép/Khác,520,39,4.9,200,6,5,1,2,214,119,101,Giày Dép Nam
6163,𝗠𝗨𝗦𝗧 𝗧𝗥𝗬: 𝗗𝗲́𝗽 𝗰𝗮𝗼 𝘀𝘂 𝗾𝘂𝗮𝗶 𝗹𝗼̂𝗻𝗴 𝗺𝗶̣𝗻 𝗤𝗨𝗔̉𝗡𝗚 𝗖𝗛𝐀̂𝗨- 𝗢𝗥𝗗 (𝗳𝗼𝗿𝗺 𝗯𝗲́ 1 cỡ ),92000.0,CONVERSE,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,369,10,4.9,104,4,3,0,1,112,65,55,Giày Dép Nam
6164,"Dép Đi Trong Nhà, Văn Phòng, Nhà Tắm chữ Nhật nguyên khối chống trơn trượt DN5",37000.0,CONVERSE,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,1000,2401,4.9,90,2,2,1,1,96,46,35,Giày Dép Nam
6165,Giày Nữ Sandal Bản Ngang Kiểu Dáng Mới Hót Hít b18,68000.0,Sanda,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,521,9463,4.7,175,15,4,4,5,203,117,100,Giày Dép Nam
6166,Dép lê quai ngang chữ h cao câp [M9],45000.0,Sanda,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,5100,15888,4.9,1400,79,34,9,11,1500,825,502,Giày Dép Nam
6167,(CÓ SẴN - Ảnh thật) Giày boot da trơn ulzzang - Tunime Store GiàyA33,230000.0,Ulzzang,Giày Dép Nữ/Giày Đế Bằng/Giày Oxford & Giày Buộc Dây,742,48,4.9,381,12,4,0,0,397,263,222,Giày Dép Nữ
6168,"Dép unisex mang trong nhà nam nữ Lỗ Thoáng Khí đi cực êm chân chống trơn trượt tốt , chất liệu cao cấp siêu nhẹ TH-82",48000.0,Ulzzang,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,528,1912,4.7,68,3,3,1,3,78,53,44,Giày Dép Nam
6169,"Dép nữ 2 quai ngang gắn Khuy Vuông CHIBAMY, Dép thời trang nữ Hàn Quốc đế bằng cao 3cm",125000.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,806,22499,5.0,296,8,1,1,0,306,186,166,Giày Dép Nam
6170,Dép quai dây siêu xinh 3cm dễ đi kiểu dáng năng động mã T3,145000.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,466,1191,4.8,122,5,4,0,5,136,85,78,Giày Dép Nam
6171,( XẢ HÀNG ) Dép nữ quai ngang trơn nhựa cao cấp bền đẹp siêu nhẹ style thời trang hàn quốc - 3230,24000.0,VUÔNG,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,454,110,4.9,164,6,5,0,2,177,94,78,Giày Dép Nam
